Predicted_Disruption_Start,Predicted_Disruption_Duration_hrs,Disruption_Type,Pending_Target_Tons,Days_To_Deadline,Available_Overtime_Capacity_hrs,Recommended_Action,Suggested_Overtime_hrs
06:00,1,Extreme Heat,218,6,4,Shift to Indoor/Maintenance tasks,0
16:00,4,Heavy Rain,404,6,1,Front-load Morning Shift,0
18:00,0,None,456,5,4,Normal Operations,0
13:00,3,Heavy Rain,442,5,3,Front-load Morning Shift,0
22:00,0,None,328,5,3,Normal Operations,0
13:00,1,Extreme Heat,344,8,2,Front-load Morning Shift,0
12:00,0,None,414,1,2,Normal Operations,0
08:00,6,Extreme Heat,284,1,4,Pre-emptive Overtime Previous Day,4
07:00,8,Heavy Rain,377,1,3,Pre-emptive Overtime Previous Day,3
14:00,0,None,382,2,2,Normal Operations,0
07:00,4,Extreme Heat,380,10,3,Shift to Indoor/Maintenance tasks,0
08:00,7,Heavy Rain,380,2,1,Pre-emptive Overtime Previous Day,1
10:00,5,Extreme Heat,175,2,2,Pre-emptive Overtime Previous Day,2
02:00,0,None,491,8,2,Normal Operations,0
17:00,6,Extreme Heat,225,6,1,Front-load Morning Shift,0
04:00,0,None,288,1,0,Normal Operations,0
15:00,5,Heavy Rain,469,2,0,Shift to Indoor/Maintenance tasks,0
08:00,6,Heavy Rain,480,2,1,Pre-emptive Overtime Previous Day,1
17:00,1,Heavy Rain,408,2,1,Front-load Morning Shift,0
09:00,1,Heavy Rain,461,8,2,Shift to Indoor/Maintenance tasks,0
09:00,7,Extreme Heat,173,8,1,Shift to Indoor/Maintenance tasks,0
18:00,6,Heavy Rain,122,6,1,Front-load Morning Shift,0
12:00,7,Extreme Heat,421,8,0,Shift to Indoor/Maintenance tasks,0
13:00,7,Heavy Rain,389,4,0,Shift to Indoor/Maintenance tasks,0
07:00,0,None,103,5,4,Normal Operations,0
05:00,0,None,384,7,2,Normal Operations,0
17:00,0,None,375,9,0,Normal Operations,0
10:00,0,None,273,4,3,Normal Operations,0
13:00,7,Extreme Heat,358,7,2,Front-load Morning Shift,0
11:00,5,Heavy Rain,137,1,3,Pre-emptive Overtime Previous Day,3
18:00,4,Heavy Rain,455,2,2,Pre-emptive Overtime Previous Day,2
10:00,8,Heavy Rain,456,8,2,Shift to Indoor/Maintenance tasks,0
13:00,1,Heavy Rain,121,2,1,Front-load Morning Shift,0
11:00,5,Heavy Rain,351,2,2,Pre-emptive Overtime Previous Day,2
15:00,5,Extreme Heat,217,4,1,Front-load Morning Shift,0
12:00,2,Heavy Rain,102,8,2,Shift to Indoor/Maintenance tasks,0
14:00,6,Heavy Rain,198,7,2,Front-load Morning Shift,0
10:00,0,None,358,2,3,Normal Operations,0
15:00,8,Heavy Rain,314,10,4,Front-load Morning Shift,0
16:00,5,Extreme Heat,343,10,1,Front-load Morning Shift,0
03:00,0,None,252,8,1,Normal Operations,0
11:00,0,None,479,8,0,Normal Operations,0
18:00,2,Heavy Rain,481,6,1,Front-load Morning Shift,0
07:00,6,Heavy Rain,153,7,1,Shift to Indoor/Maintenance tasks,0
08:00,2,Extreme Heat,500,5,2,Shift to Indoor/Maintenance tasks,0
10:00,6,Heavy Rain,345,6,4,Shift to Indoor/Maintenance tasks,0
12:00,1,Heavy Rain,359,5,4,Shift to Indoor/Maintenance tasks,0
15:00,2,Extreme Heat,351,1,3,Front-load Morning Shift,0
08:00,8,Heavy Rain,352,1,0,Shift to Indoor/Maintenance tasks,0
01:00,0,None,489,2,3,Normal Operations,0
16:00,2,Extreme Heat,315,8,1,Front-load Morning Shift,0
13:00,1,Heavy Rain,461,5,3,Front-load Morning Shift,0
17:00,2,Extreme Heat,154,5,2,Front-load Morning Shift,0
07:00,6,Extreme Heat,477,3,3,Shift to Indoor/Maintenance tasks,0
09:00,3,Heavy Rain,134,5,2,Shift to Indoor/Maintenance tasks,0
08:00,4,Extreme Heat,111,2,3,Pre-emptive Overtime Previous Day,3
18:00,0,None,449,1,0,Normal Operations,0
11:00,3,Heavy Rain,333,7,1,Shift to Indoor/Maintenance tasks,0
10:00,1,Extreme Heat,355,9,4,Shift to Indoor/Maintenance tasks,0
13:00,0,None,249,6,3,Normal Operations,0
12:00,4,Extreme Heat,320,1,4,Pre-emptive Overtime Previous Day,4
14:00,6,Extreme Heat,154,2,4,Pre-emptive Overtime Previous Day,4
07:00,8,Heavy Rain,434,3,3,Shift to Indoor/Maintenance tasks,0
14:00,8,Heavy Rain,346,3,1,Front-load Morning Shift,0
10:00,0,None,337,10,0,Normal Operations,0
02:00,0,None,333,7,4,Normal Operations,0
11:00,0,None,482,1,1,Normal Operations,0
17:00,5,Heavy Rain,203,8,2,Front-load Morning Shift,0
08:00,5,Heavy Rain,486,8,1,Shift to Indoor/Maintenance tasks,0
17:00,1,Heavy Rain,239,1,2,Front-load Morning Shift,0
15:00,7,Extreme Heat,170,2,0,Shift to Indoor/Maintenance tasks,0
18:00,1,Heavy Rain,265,10,1,Front-load Morning Shift,0
17:00,1,Extreme Heat,458,7,3,Front-load Morning Shift,0
17:00,0,None,352,6,1,Normal Operations,0
09:00,7,Heavy Rain,315,7,1,Shift to Indoor/Maintenance tasks,0
18:00,0,None,339,5,1,Normal Operations,0
08:00,8,Extreme Heat,161,8,1,Shift to Indoor/Maintenance tasks,0
15:00,2,Heavy Rain,455,4,3,Front-load Morning Shift,0
12:00,3,Heavy Rain,476,8,1,Shift to Indoor/Maintenance tasks,0
16:00,0,None,170,8,0,Normal Operations,0
22:00,0,None,171,7,3,Normal Operations,0
12:00,1,Heavy Rain,165,1,2,Shift to Indoor/Maintenance tasks,0
19:00,0,None,397,9,3,Normal Operations,0
03:00,0,None,155,4,3,Normal Operations,0
13:00,4,Heavy Rain,352,4,1,Front-load Morning Shift,0
14:00,5,Extreme Heat,290,9,4,Front-load Morning Shift,0
12:00,2,Extreme Heat,316,9,4,Shift to Indoor/Maintenance tasks,0
00:00,0,None,312,7,4,Normal Operations,0
09:00,1,Heavy Rain,379,3,4,Shift to Indoor/Maintenance tasks,0
05:00,0,None,281,10,0,Normal Operations,0
14:00,6,Heavy Rain,116,4,1,Front-load Morning Shift,0
08:00,6,Heavy Rain,263,10,0,Shift to Indoor/Maintenance tasks,0
13:00,1,Heavy Rain,452,10,1,Front-load Morning Shift,0
18:00,1,Extreme Heat,416,8,3,Front-load Morning Shift,0
13:00,5,Heavy Rain,345,2,2,Pre-emptive Overtime Previous Day,2
12:00,1,Heavy Rain,231,6,2,Shift to Indoor/Maintenance tasks,0
08:00,7,Extreme Heat,269,5,3,Shift to Indoor/Maintenance tasks,0
08:00,6,Extreme Heat,100,3,1,Shift to Indoor/Maintenance tasks,0
08:00,6,Extreme Heat,279,10,2,Shift to Indoor/Maintenance tasks,0
07:00,0,None,414,8,4,Normal Operations,0
13:00,0,None,282,3,4,Normal Operations,0
10:00,6,Heavy Rain,143,8,1,Shift to Indoor/Maintenance tasks,0
08:00,8,Heavy Rain,342,7,4,Shift to Indoor/Maintenance tasks,0
00:00,0,None,223,1,4,Normal Operations,0
15:00,8,Extreme Heat,139,9,0,Shift to Indoor/Maintenance tasks,0
18:00,4,Heavy Rain,147,7,3,Front-load Morning Shift,0
08:00,2,Heavy Rain,154,3,0,Shift to Indoor/Maintenance tasks,0
06:00,0,None,500,5,1,Normal Operations,0
11:00,3,Heavy Rain,357,1,4,Shift to Indoor/Maintenance tasks,0
06:00,2,Extreme Heat,201,8,1,Shift to Indoor/Maintenance tasks,0
09:00,4,Extreme Heat,131,4,3,Shift to Indoor/Maintenance tasks,0
08:00,0,None,250,5,3,Normal Operations,0
12:00,6,Heavy Rain,347,7,0,Shift to Indoor/Maintenance tasks,0
15:00,5,Heavy Rain,404,7,1,Front-load Morning Shift,0
17:00,5,Extreme Heat,432,4,0,Shift to Indoor/Maintenance tasks,0
17:00,6,Extreme Heat,296,9,3,Front-load Morning Shift,0
04:00,0,None,199,4,1,Normal Operations,0
10:00,8,Extreme Heat,189,6,4,Shift to Indoor/Maintenance tasks,0
15:00,6,Heavy Rain,438,10,1,Front-load Morning Shift,0
09:00,1,Heavy Rain,228,6,1,Shift to Indoor/Maintenance tasks,0
07:00,0,None,477,3,2,Normal Operations,0
06:00,2,Extreme Heat,252,8,3,Shift to Indoor/Maintenance tasks,0
12:00,4,Extreme Heat,313,10,1,Shift to Indoor/Maintenance tasks,0
04:00,0,None,409,4,2,Normal Operations,0
16:00,8,Extreme Heat,426,8,0,Shift to Indoor/Maintenance tasks,0
08:00,1,Extreme Heat,486,1,3,Shift to Indoor/Maintenance tasks,0
11:00,5,Extreme Heat,318,9,3,Shift to Indoor/Maintenance tasks,0
15:00,0,None,329,10,0,Normal Operations,0
15:00,8,Extreme Heat,291,9,0,Shift to Indoor/Maintenance tasks,0
12:00,0,None,400,4,3,Normal Operations,0
19:00,0,None,492,7,0,Normal Operations,0
15:00,1,Extreme Heat,269,10,4,Front-load Morning Shift,0
11:00,7,Heavy Rain,405,5,4,Shift to Indoor/Maintenance tasks,0
08:00,5,Heavy Rain,228,9,2,Shift to Indoor/Maintenance tasks,0
06:00,0,None,220,5,3,Normal Operations,0
